district,province,longitude,latitude,.geo
Bugesera,East/Iburasirazuba,30.149867351161866,-2.239015050389602,"{""type"":""Point"",""coordinates"":[30.149867351161866,-2.239015050389602]}"
Gatsibo,East/Iburasirazuba,30.446492881963376,-1.6189007072075103,"{""type"":""Point"",""coordinates"":[30.446492881963376,-1.6189007072075106]}"
Kayonza,East/Iburasirazuba,30.642419291159214,-1.8447861637758192,"{""type"":""Point"",""coordinates"":[30.642419291159214,-1.8447861637758192]}"
Kirehe,East/Iburasirazuba,30.710723830970018,-2.233492185522493,"{""type"":""Point"",""coordinates"":[30.71072383097001,-2.2334921855224934]}"
Ngoma,East/Iburasirazuba,30.45724779037833,-2.1827924951705104,"{""type"":""Point"",""coordinates"":[30.45724779037832,-2.1827924951705104]}"
Nyagatare,East/Iburasirazuba,30.379575538610013,-1.3384060503949013,"{""type"":""Point"",""coordinates"":[30.379575538610005,-1.3384060503949011]}"
Rwamagana,East/Iburasirazuba,30.354736583738855,-1.975495110715933,"{""type"":""Point"",""coordinates"":[30.354736583738855,-1.975495110715933]}"
Gasabo,Kigali City/Umujyi wa Kigali,30.142211545665614,-1.8914479096475425,"{""type"":""Point"",""coordinates"":[30.142211545665614,-1.8914479096475425]}"
Kicukiro,Kigali City/Umujyi wa Kigali,30.14372462458937,-2.0088639659275715,"{""type"":""Point"",""coordinates"":[30.143724624589378,-2.0088639659275715]}"
Nyarugenge,Kigali City/Umujyi wa Kigali,30.028864856858288,-1.9920037221777962,"{""type"":""Point"",""coordinates"":[30.028864856858288,-1.9920037221777962]}"
Burera,North/Amajyaruguru,29.826853649176503,-1.465738179993222,"{""type"":""Point"",""coordinates"":[29.826853649176503,-1.465738179993222]}"
Gakenke,North/Amajyaruguru,29.784233884581365,-1.698528868828236,"{""type"":""Point"",""coordinates"":[29.784233884581365,-1.698528868828236]}"
Gicumbi,North/Amajyaruguru,30.11323012885886,-1.6203748604314445,"{""type"":""Point"",""coordinates"":[30.11323012885886,-1.6203748604314447]}"
Musanze,North/Amajyaruguru,29.607024989936814,-1.4986237167193646,"{""type"":""Point"",""coordinates"":[29.607024989936814,-1.4986237167193643]}"
Rulindo,North/Amajyaruguru,29.987225885053288,-1.7392815830967379,"{""type"":""Point"",""coordinates"":[29.98722588505328,-1.7392815830967379]}"
Gisagara,South/Amajyepfo,29.843520074895142,-2.6173948204389084,"{""type"":""Point"",""coordinates"":[29.843520074895135,-2.6173948204389084]}"
Huye,South/Amajyepfo,29.70879702636242,-2.5246410288180408,"{""type"":""Point"",""coordinates"":[29.70879702636242,-2.524641028818041]}"
Kamonyi,South/Amajyepfo,29.902401189801832,-2.0094432912268103,"{""type"":""Point"",""coordinates"":[29.902401189801832,-2.0094432912268103]}"
Muhanga,South/Amajyepfo,29.722725609431706,-1.95488446403249,"{""type"":""Point"",""coordinates"":[29.722725609431706,-1.95488446403249]}"
Nyamagabe,South/Amajyepfo,29.469881054814557,-2.411353360552057,"{""type"":""Point"",""coordinates"":[29.469881054814557,-2.4113533605520576]}"
Nyanza,South/Amajyepfo,29.793302653869972,-2.3358431398745942,"{""type"":""Point"",""coordinates"":[29.793302653869972,-2.3358431398745942]}"
Nyaruguru,South/Amajyepfo,29.517088017699205,-2.694407543229448,"{""type"":""Point"",""coordinates"":[29.517088017699205,-2.694407543229448]}"
Ruhango,South/Amajyepfo,29.771760084068344,-2.1936001577784796,"{""type"":""Point"",""coordinates"":[29.771760084068344,-2.1936001577784796]}"
Karongi,West/Iburengerazuba,29.39409528720139,-2.1389464331470274,"{""type"":""Point"",""coordinates"":[29.39409528720139,-2.138946433147027]}"
Ngororero,West/Iburengerazuba,29.56946379875878,-1.877841683999772,"{""type"":""Point"",""coordinates"":[29.56946379875878,-1.877841683999772]}"
Nyabihu,West/Iburengerazuba,29.51050682884799,-1.6472418789171506,"{""type"":""Point"",""coordinates"":[29.51050682884799,-1.6472418789171506]}"
Nyamasheke,West/Iburengerazuba,29.155130404194185,-2.3488270870716406,"{""type"":""Point"",""coordinates"":[29.155130404194185,-2.3488270870716406]}"
Rubavu,West/Iburengerazuba,29.331087311167526,-1.6605825117955837,"{""type"":""Point"",""coordinates"":[29.33108731116753,-1.6605825117955837]}"
Rusizi,West/Iburengerazuba,29.076326915292984,-2.5553413479828975,"{""type"":""Point"",""coordinates"":[29.076326915292984,-2.5553413479828975]}"
Rutsiro,West/Iburengerazuba,29.32129442845378,-1.9054530581679967,"{""type"":""Point"",""coordinates"":[29.32129442845378,-1.9054530581679967]}"
