Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
43972.184,44029.723,43972.184,44044.11,43986.566,44188.133,44044.11,44044.11,44015.336,44015.336,43972.184,44130.496,43929.055,43972.184,43986.566,44116.09,44087.293,43914.68,44087.293,44072.9,44144.9,43943.426,44159.31,44087.293,44044.11,44173.72,44015.336,44087.293,44116.09,44029.723
43970.527,44027.83,43970.527,44042.156,43984.848,44185.582,44042.156,44042.156,44013.5,44013.5,43970.527,44128.188,43927.57,43970.527,43984.848,44113.844,44085.16,43913.254,44085.16,44070.824,44142.53,43941.89,44156.883,44085.16,44042.156,44171.234,44013.5,44085.16,44113.844,44027.83
43968.72,44025.76,43968.72,44040.023,43982.977,44182.812,44040.023,44040.023,44011.5,44011.5,43968.72,44125.668,43925.957,43968.72,43982.977,44111.387,44082.836,43911.703,44082.836,44068.566,44139.953,43940.207,44154.23,44082.836,44040.023,44168.52,44011.5,44082.836,44111.387,44025.76
43966.76,44023.523,43966.76,44037.723,43980.953,44179.81,44037.723,44037.723,44009.332,44009.332,43966.76,44122.95,43924.207,43966.76,43980.953,44108.74,44080.324,43910.027,44080.324,44066.125,44137.156,43938.39,44151.37,44080.324,44037.723,44165.59,44009.332,44080.324,44108.74,44023.523
43964.664,44021.13,43964.664,44035.25,43978.777,44176.586,44035.25,44035.25,44007.008,44007.008,43964.664,44120.027,43922.332,43964.664,43978.777,44105.89,44077.63,43908.227,44077.63,44063.5,44134.16,43936.44,44148.3,44077.63,44035.25,44162.445,44007.008,44077.63,44105.89,44021.13
43962.426,44018.574,43962.426,44032.617,43976.46,44173.152,44032.617,44032.617,44004.53,44004.53,43962.426,44116.91,43920.34,43962.426,43976.46,44102.855,44074.754,43906.312,44074.754,44060.703,44130.97,43934.367,44145.027,44074.754,44032.617,44159.09,44004.53,44074.754,44102.855,44018.574
43960.06,44015.867,43960.06,44029.824,43974.008,44169.51,44029.824,44029.824,44001.91,44001.91,43960.06,44113.61,43918.223,43960.06,43974.008,44099.64,44071.707,43904.28,44071.707,44057.742,44127.582,43932.168,44141.555,44071.707,44029.824,44155.535,44001.91,44071.707,44099.64,44015.867
43957.56,44013.008,43957.56,44026.875,43971.418,44165.67,44026.875,44026.875,43999.14,43999.14,43957.56,44110.13,43915.992,43957.56,43971.418,44096.246,44068.49,43902.14,44068.49,44054.62,44124.008,43929.848,44137.895,44068.49,44026.875,44151.785,43999.14,44068.49,44096.246,44013.008
43954.934,44010.008,43954.934,44023.78,43968.7,44161.64,44023.78,44023.78,43996.24,43996.24,43954.934,44106.47,43913.65,43954.934,43968.7,44092.684,44065.117,43899.89,44065.117,44051.336,44120.258,43927.41,44134.047,44065.117,44023.78,44147.844,43996.24,44065.117,44092.684,44010.008
43952.188,44006.87,43952.188,44020.543,43965.855,44157.418,44020.543,44020.543,43993.195,43993.195,43952.188,44102.64,43911.195,43952.188,43965.855,44088.953,44061.582,43897.535,44061.582,44047.902,44116.33,43924.86,44130.023,44061.582,44020.543,44143.72,43993.195,44061.582,44088.953,44006.87
43949.324,44003.594,43949.324,44017.17,43962.89,44153.01,44017.17,44017.17,43990.027,43990.027,43949.324,44098.652,43908.64,43949.324,43962.89,44085.062,44057.902,43895.086,44057.902,44044.32,44112.234,43922.2,44125.824,44057.902,44017.17,44139.418,43990.027,44057.902,44085.062,44003.594
43946.348,44000.195,43946.348,44013.66,43959.81,44148.434,44013.66,44013.66,43986.73,43986.73,43946.348,44094.5,43905.99,43946.348,43959.81,44081.02,44054.066,43892.535,44054.066,44040.598,44107.98,43919.44,44121.46,44054.066,44013.66,44134.945,43986.73,44054.066,44081.02,44000.195
43943.27,43996.668,43943.27,44010.023,43956.613,44143.688,44010.023,44010.023,43983.316,43983.316,43943.27,44090.195,43903.24,43943.27,43956.613,44076.83,44050.1,43889.895,44050.1,44036.74,44103.566,43916.58,44116.938,44050.1,44010.023,44130.312,43983.316,44050.1,44076.83,43996.668
43940.082,43993.023,43940.082,44006.26,43953.316,44138.78,44006.26,44006.26,43979.785,43979.785,43940.082,44085.746,43900.39,43940.082,43953.316,44072.492,44045.996,43887.168,44045.996,44032.746,44099.0,43913.62,44112.258,44045.996,44006.26,44125.516,43979.785,44045.996,44072.492,43993.023
43936.793,43989.26,43936.793,44002.383,43949.906,44133.715,44002.383,44002.383,43976.145,43976.145,43936.793,44081.156,43897.46,43936.793,43949.906,44068.023,44041.76,43884.355,44041.76,44028.633,44094.29,43910.566,44107.434,44041.76,44002.383,44120.57,43976.145,44041.76,44068.023,43989.26
43933.41,43985.39,43933.41,43998.39,43946.402,44128.5,43998.39,43998.39,43972.395,43972.395,43933.41,44076.43,43894.445,43933.41,43946.402,44063.418,44037.402,43881.457,44037.402,44024.395,44089.445,43907.43,44102.46,44037.402,43998.39,44115.48,43972.395,44037.402,44063.418,43985.39
43929.93,43981.41,43929.93,43994.28,43942.797,44123.137,43994.28,43994.28,43968.535,43968.535,43929.93,44071.57,43891.34,43929.93,43942.797,44058.68,44032.914,43878.48,44032.914,44020.035,44084.457,43904.203,44097.348,44032.914,43994.28,44110.242,43968.535,44032.914,44058.68,43981.41
43926.316,43977.273,43926.316,43990.016,43939.055,44117.562,43990.016,43990.016,43964.527,43964.527,43926.316,44066.516,43888.117,43926.316,43939.055,44053.76,44028.254,43875.39,44028.254,44015.508,44079.273,43900.85,44092.03,44028.254,43990.016,44104.797,43964.527,44028.254,44053.76,43977.273
43922.562,43972.977,43922.562,43985.586,43935.168,44111.77,43985.586,43985.586,43960.37,43960.37,43922.562,44061.27,43884.773,43922.562,43935.168,44048.652,44023.418,43872.18,44023.418,44010.805,44073.895,43897.37,44086.516,44023.418,43985.586,44099.14,43960.37,44023.418,44048.652,43972.977
43918.684,43968.53,43918.684,43981.0,43931.145,44105.777,43981.0,43981.0,43956.07,43956.07,43918.684,44055.844,43881.312,43918.684,43931.145,44043.367,44018.414,43868.863,44018.414,44005.94,44068.32,43893.77,44080.805,44018.414,43981.0,44093.29,43956.07,44018.414,44043.367,43968.53
43914.68,43963.945,43914.68,43976.27,43926.992,44099.59,43976.27,43976.27,43951.63,43951.63,43914.68,44050.234,43877.746,43914.68,43926.992,44037.906,44013.246,43865.44,44013.246,44000.918,44062.57,43890.055,44074.91,44013.246,43976.27,44087.25,43951.63,44013.246,44037.906,43963.945
43910.56,43959.227,43910.56,43971.402,43922.727,44093.223,43971.402,43971.402,43947.055,43947.055,43910.56,44044.47,43874.08,43910.56,43922.727,44032.285,44007.926,43861.918,44007.926,43995.746,44056.656,43886.24,44068.84,44007.926,43971.402,44081.03,43947.055,44007.926,44032.285,43959.227
43906.332,43954.383,43906.332,43966.402,43918.34,44086.684,43966.402,43966.402,43942.367,43942.367,43906.332,44038.547,43870.31,43906.332,43918.34,44026.516,44002.465,43858.31,44002.465,43990.44,44050.574,43882.316,44062.61,44002.465,43966.402,44074.645,43942.367,44002.465,44026.516,43954.383
43902.004,43949.42,43902.004,43961.28,43913.855,44079.98,43961.28,43961.28,43937.562,43937.562,43902.004,44032.477,43866.453,43902.004,43913.855,44020.605,43996.87,43854.605,43996.87,43985.008,44044.35,43878.305,44056.227,43996.87,43961.28,44068.1,43937.562,43996.87,44020.605,43949.42
