Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
0.0,0.4,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.4,1.3000001,0.3,0.2,1.8000002,0.4,0.3,0.0,0.0,0.0,0.3,0.4,0.0,0.1,0.0,0.4,0.0,0.3,0.4,0.4,0.4
0.0,0.3,0.1,0.3,0.1,0.90000004,0.3,0.3,0.3,0.5,0.5,0.90000004,0.1,0.8,0.3,0.0,0.0,0.1,0.1,0.90000004,0.4,0.1,0.0,0.2,0.3,0.4,0.2,0.4,0.4,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,1.6000001,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.70000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0.0,18.599998,9.2,1.9,22.500002,11.900001,1.9,2.6000001,2.6000001,63.7,0.1,7.6,9.2,25.7,18.599998,4.7999997,1.3000001,0.0,7.8,7.6,3.0000002,22.500002,5.4999995,2.3000002,18.599998,4.799999,0.0,3.0000002,3.0000002,63.7
0.0,4.1,4.0,0.2,4.7,1.1,0.2,0.5,0.5,16.500002,0.0,1.8000001,4.0,18.999998,4.1,2.8,0.0,0.1,0.5,1.8000001,0.3,4.7,3.8,0.0,4.1,0.0,0.0,0.3,0.3,16.500002
0.0,4.4999995,3.9999998,1.3000001,4.7999997,1.8999999,1.3000001,2.5,2.5,14.199999,0.2,1.5,3.9999998,11.200001,4.4999995,2.7,4.1,0.0,1.4000001,1.5,0.8,4.7999997,0.7,2.1,4.4999995,0.3,0.9,0.8,0.8,14.199999
1.0,0.6,9.5,1.4000001,3.8000002,0.3,1.4000001,5.6,5.6,7.600001,12.3,0.0,9.5,19.699999,0.6,0.90000004,0.0,0.1,0.4,0.0,0.3,3.8000002,0.3,0.0,0.6,0.5,0.0,0.3,0.3,7.600001
0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.7,0.1,1.1,1.5,0.1,0.6,0.6,4.3999996,11.599999,0.1,2.7,12.7,0.0,1.4000001,0.0,0.0,0.0,0.1,0.0,1.1,1.7,0.0,0.0,0.6,0.5,0.0,0.0,4.3999996
2.2,0.1,1.1,2.3000002,0.0,9.0,2.3000002,2.4,2.4,3.3,12.200001,2.8,1.1,7.2999997,0.1,4.2999997,3.3,0.4,2.1,2.8,0.2,0.0,5.4,2.7,0.1,0.3,1.1,0.2,0.2,3.3
0.5,0.1,3.9,0.2,0.2,1.0,0.2,0.3,0.3,6.5,19.900002,0.1,3.9,18.2,0.1,0.5,0.0,0.2,0.3,0.1,0.0,0.2,0.4,0.0,0.1,0.1,0.0,0.0,0.0,6.5
2.9,4.9,12.6,1.8000001,5.9,12.5,1.8000001,3.6000001,3.6000001,33.300003,28.499998,5.1000004,12.6,75.799995,4.9,3.5,4.4999995,4.8999996,3.8,5.1000004,0.70000005,5.9,4.6,3.5,4.9,0.3,2.4,0.70000005,0.70000005,33.300003
2.0,5.7,7.1,4.1000004,7.3,0.8000001,4.1000004,6.2,6.2,18.5,10.099999,8.599999,7.1,9.1,5.7,5.3,11.099999,3.8000002,5.1,8.599999,5.5,7.3,5.7,7.1,5.7,5.5999994,2.7000003,5.5,5.5,18.5
