Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
21.6,22.17,21.83,22.62,21.73,20.18,22.62,22.19,22.19,21.27,21.09,21.45,21.83,21.55,22.17,19.83,22.08,21.7,23.04,21.45,22.5,21.73,20.38,22.75,22.17,22.22,21.01,22.5,22.5,21.27
21.19,22.0,21.21,21.92,21.41,21.4,21.92,21.59,21.59,21.14,20.48,22.34,21.21,20.96,22.0,20.58,21.8,20.87,22.33,22.34,22.58,21.41,21.48,21.98,22.0,22.67,21.49,22.58,22.58,21.14
22.47,21.07,21.35,22.27,20.78,20.89,22.27,21.72,21.72,20.02,20.1,21.58,21.35,20.61,21.07,19.99,22.85,22.33,22.32,21.58,21.75,20.78,20.71,22.63,21.07,21.84,22.57,21.75,21.75,20.02
24.49,23.89,22.54,24.38,22.96,24.18,24.38,23.63,23.63,22.35,21.73,25.36,22.54,21.75,23.89,22.19,25.4,24.27,24.65,25.36,25.09,22.96,22.64,24.9,23.89,25.32,24.85,25.09,25.09,22.35
21.78,21.84,21.87,22.39,21.52,22.5,22.39,21.99,21.99,20.99,20.54,22.55,21.87,21.37,21.84,21.96,22.53,21.91,22.82,22.55,22.45,21.52,22.99,22.74,21.84,22.9,21.56,22.45,22.45,20.99
21.2,16.93,18.09,20.56,16.63,18.3,20.56,19.39,19.39,14.74,16.56,18.42,18.09,16.44,16.93,17.14,20.57,20.7,20.1,18.42,18.29,16.63,17.57,20.56,16.93,18.66,20.98,18.29,18.29,14.74
21.88,19.17,19.82,22.18,18.46,21.41,22.18,20.69,20.69,17.1,19.06,21.15,19.82,18.75,19.17,20.31,22.44,21.59,22.78,21.15,20.86,18.46,20.9,22.81,19.17,21.86,21.79,20.86,20.86,17.1
20.65,18.87,18.89,21.56,18.41,18.52,21.56,20.48,20.48,16.93,18.01,18.85,18.89,17.68,18.87,19.11,19.83,20.28,21.63,18.85,19.63,18.41,19.78,21.14,18.87,19.72,19.71,19.63,19.63,16.93
23.17,19.49,20.17,22.66,19.0,20.08,22.66,21.48,21.48,17.22,18.51,20.58,20.17,18.72,19.49,19.1,22.05,22.68,22.62,20.58,20.86,19.0,19.87,22.47,19.49,21.35,22.97,20.86,20.86,17.22
22.15,23.18,21.77,21.98,22.32,24.39,21.98,22.08,22.08,22.13,20.55,24.94,21.77,21.35,23.18,21.49,21.43,22.96,22.51,24.94,24.2,22.32,22.87,21.78,23.18,24.71,21.24,24.2,24.2,22.13
22.13,21.95,21.46,22.54,21.33,21.31,22.54,21.86,21.86,21.0,21.18,22.58,21.46,21.27,21.95,21.82,23.14,22.13,23.0,22.58,22.74,21.33,22.81,23.11,21.95,22.79,22.27,22.74,22.74,21.0
22.38,19.14,17.51,20.76,17.66,20.88,20.76,19.21,19.21,16.87,17.93,22.38,17.51,16.49,19.14,22.23,21.91,23.31,21.57,22.38,21.41,17.66,22.91,21.6,19.14,22.24,22.0,21.41,21.41,16.87
23.3,23.13,21.78,24.12,22.19,20.88,24.12,23.3,23.3,21.26,20.69,23.2,21.78,20.9,23.13,21.32,23.31,22.55,24.34,23.2,24.08,22.19,21.92,23.88,23.13,23.81,23.39,24.08,24.08,21.26
18.31,17.96,17.15,19.16,17.07,18.7,19.16,17.85,17.85,16.61,16.83,19.15,17.15,16.81,17.96,20.3,20.0,18.77,20.2,19.15,19.08,17.07,20.98,20.3,17.96,19.64,18.1,19.08,19.08,16.61
16.63,15.72,13.74,16.53,15.37,16.93,16.53,16.63,16.63,14.35,13.32,16.37,13.74,12.61,15.72,15.89,14.25,15.51,15.1,16.37,15.83,15.37,16.3,14.99,15.72,15.78,15.52,15.83,15.83,14.35
19.04,17.25,18.54,18.94,17.37,18.07,18.94,18.97,18.97,16.18,17.23,18.43,18.54,17.62,17.25,17.69,18.66,18.16,18.0,18.43,17.94,17.37,18.28,18.59,17.25,18.1,18.46,17.94,17.94,16.18
18.09,15.92,16.1,17.02,15.39,15.92,17.02,16.35,16.35,14.7,15.37,16.92,16.1,15.3,15.92,14.87,17.39,18.58,17.38,16.92,17.01,15.39,15.49,17.24,15.92,17.33,17.81,17.01,17.01,14.7
22.12,21.09,19.8,21.6,20.49,19.53,21.6,21.28,21.28,19.38,17.36,21.57,19.8,18.46,21.09,19.04,21.97,22.11,21.24,21.57,21.8,20.49,20.62,21.69,21.09,21.42,21.6,21.8,21.8,19.38
22.42,22.47,22.09,22.19,22.27,20.03,22.19,22.09,22.09,22.04,20.4,21.61,22.09,21.72,22.47,21.02,22.85,23.25,22.51,21.61,22.44,22.27,22.03,22.68,22.47,21.96,22.06,22.44,22.44,22.04
21.07,22.38,21.81,22.04,22.2,20.49,22.04,22.58,22.58,21.55,20.19,22.18,21.81,21.33,22.38,21.23,20.3,20.24,21.3,22.18,22.46,22.2,22.62,20.93,22.38,21.8,20.6,22.46,22.46,21.55
19.24,18.83,17.1,20.02,17.65,18.74,20.02,18.99,18.99,16.56,16.01,20.13,17.1,15.96,18.83,18.0,19.38,18.49,20.4,20.13,20.25,17.65,18.74,19.92,18.83,20.54,19.12,20.25,20.25,16.56
12.08,12.49,13.02,13.05,12.1,13.31,13.05,12.79,12.79,11.91,13.66,13.53,13.02,13.04,12.49,15.18,10.94,12.12,13.58,13.53,13.35,12.1,15.27,12.39,12.49,13.81,11.08,13.35,13.35,11.91
19.86,18.09,18.63,20.43,17.77,19.54,20.43,19.34,19.34,16.58,17.21,18.84,18.63,17.66,18.09,17.46,20.51,19.34,20.72,18.84,18.96,17.77,18.03,20.91,18.09,19.79,19.83,18.96,18.96,16.58
14.08,14.92,15.66,15.52,14.78,16.33,15.52,15.38,15.38,14.57,16.04,15.75,15.66,15.75,14.92,15.3,14.94,13.48,15.74,15.75,15.47,14.78,15.5,15.58,14.92,16.2,13.67,15.47,15.47,14.57
17.61,13.6,12.99,16.59,12.69,18.56,16.59,15.12,15.12,11.33,13.26,17.2,12.99,11.77,13.6,16.29,17.38,17.31,16.44,17.2,15.49,12.69,17.09,17.09,13.6,16.81,17.45,15.49,15.49,11.33
18.59,15.47,16.06,17.58,15.49,15.6,17.58,17.23,17.23,14.25,15.08,15.49,16.06,14.86,15.47,14.05,16.35,17.96,16.82,15.49,15.88,15.49,13.6,16.62,15.47,15.98,18.39,15.88,15.88,14.25
12.88,12.98,13.56,12.82,13.41,13.22,12.82,13.38,13.38,13.08,11.69,12.64,13.56,13.08,12.98,15.33,11.39,13.87,12.58,12.64,12.51,13.41,16.73,12.32,12.98,12.36,10.92,12.51,12.51,13.08
21.7,21.84,20.94,22.83,21.48,20.6,22.83,22.1,22.1,21.1,21.09,21.1,20.94,20.62,21.84,20.77,23.55,21.42,22.94,21.1,21.91,21.48,20.58,23.57,21.84,21.83,21.63,21.91,21.91,21.1
19.27,16.38,16.7,19.41,15.83,17.75,19.41,17.77,17.77,14.6,15.78,16.92,16.7,15.86,16.38,15.43,19.35,18.77,20.07,16.92,17.43,15.83,16.07,19.81,16.38,18.36,20.03,17.43,17.43,14.6
18.97,14.56,15.45,18.3,14.12,15.51,18.3,17.03,17.03,12.09,13.53,16.23,15.45,13.57,14.56,15.51,18.42,18.4,17.85,16.23,16.12,14.12,15.91,18.41,14.56,16.55,18.51,16.12,16.12,12.09
17.3,18.69,18.52,17.5,18.67,20.65,17.5,17.8,17.8,19.48,19.63,19.44,18.52,19.19,18.69,20.8,17.61,17.6,17.88,19.44,18.6,18.67,21.48,17.51,18.69,19.07,17.55,18.6,18.6,19.48
19.87,19.89,19.89,20.7,19.85,19.31,20.7,20.38,20.38,19.53,19.55,19.49,19.89,19.74,19.89,19.92,21.27,18.94,20.47,19.49,19.85,19.85,20.17,20.95,19.89,19.79,20.59,19.85,19.85,19.53
19.93,19.22,19.17,20.1,18.67,20.49,20.1,19.17,19.17,18.54,19.71,20.24,19.17,19.22,19.22,20.26,20.87,20.43,20.95,20.24,20.03,18.67,21.22,20.92,19.22,20.64,20.13,20.03,20.03,18.54
21.48,17.0,17.51,21.29,16.4,17.86,21.29,19.5,19.5,14.23,15.73,17.98,17.51,15.62,17.0,16.16,21.51,20.94,21.29,17.98,18.49,16.4,16.44,21.7,17.0,19.16,21.36,18.49,18.49,14.23
19.75,19.65,19.25,19.58,19.11,18.16,19.58,19.08,19.08,19.12,18.73,19.47,19.25,19.16,19.65,18.54,20.13,20.64,20.44,19.47,20.18,19.11,18.72,20.13,19.65,20.21,19.74,20.18,20.18,19.12
22.72,19.85,20.26,22.62,19.55,19.54,22.62,21.39,21.39,18.12,18.57,19.49,20.26,19.0,19.85,17.99,22.09,22.31,22.92,19.49,20.51,19.55,18.54,22.6,19.85,20.93,22.87,20.51,20.51,18.12
15.19,12.02,13.07,14.3,12.27,11.48,14.3,13.3,13.3,12.08,14.28,11.47,13.07,13.0,12.02,13.98,16.46,15.11,14.19,11.47,11.97,12.27,13.78,15.43,12.02,11.97,15.98,11.97,11.97,12.08
16.79,16.45,18.3,15.38,16.85,18.89,15.38,16.07,16.07,18.14,20.73,18.8,18.3,19.69,16.45,20.56,18.62,17.15,14.92,18.8,16.73,16.85,20.73,16.44,16.45,16.93,17.77,16.73,16.73,18.14
13.94,16.68,13.44,18.89,14.95,18.54,18.89,16.32,16.32,14.03,13.13,17.29,13.44,12.74,16.68,16.64,18.93,12.86,20.86,17.29,18.0,14.95,17.27,20.55,16.68,19.37,13.87,18.0,18.0,14.03
23.56,19.83,21.78,22.93,20.3,20.43,22.93,22.06,22.06,19.07,20.57,18.99,21.78,20.79,19.83,18.65,23.13,23.66,22.81,18.99,19.81,20.3,18.94,23.28,19.83,20.21,23.29,19.81,19.81,19.07
16.79,15.3,15.02,16.78,14.97,13.75,16.78,15.81,15.81,14.4,14.4,14.48,15.02,14.44,15.3,15.51,16.89,16.95,17.17,14.48,15.51,14.97,15.91,17.19,15.3,15.3,16.69,15.51,15.51,14.4
20.26,18.16,19.59,21.7,18.44,17.55,21.7,20.26,20.26,17.42,19.76,16.05,19.59,19.0,18.16,17.49,20.64,19.75,22.12,16.05,17.83,18.44,17.85,21.9,18.16,17.84,20.03,17.83,17.83,17.42
20.43,17.35,17.27,20.01,16.89,16.83,20.01,18.93,18.93,15.57,16.77,17.65,17.27,15.93,17.35,17.73,19.83,20.13,19.85,17.65,18.24,16.89,17.4,19.95,17.35,18.44,20.22,18.24,18.24,15.57
17.79,15.35,16.01,15.85,15.58,12.69,15.85,16.11,16.11,15.12,15.4,14.47,16.01,15.23,15.35,13.15,16.89,18.34,15.04,14.47,15.27,15.58,12.24,15.88,15.35,14.55,17.25,15.27,15.27,15.12
24.87,23.26,22.91,24.39,22.97,22.63,24.39,23.8,23.8,22.22,21.82,23.03,22.91,22.15,23.26,21.28,24.72,24.77,24.33,23.03,23.59,22.97,21.52,24.55,23.26,23.57,24.99,23.59,23.59,22.22
17.21,16.61,17.51,17.81,16.12,20.15,17.81,17.4,17.4,15.17,16.34,18.43,17.51,16.93,16.61,16.47,14.85,17.57,18.74,18.43,17.94,16.12,17.98,16.76,16.61,19.41,16.17,17.94,17.94,15.17
18.7,14.59,15.99,18.42,14.62,14.35,18.42,17.33,17.33,12.43,13.24,14.44,15.99,14.23,14.59,12.5,18.33,18.51,17.84,14.44,15.26,14.62,13.48,18.63,14.59,15.35,17.92,15.26,15.26,12.43
21.37,20.85,20.31,21.93,20.17,20.58,21.93,21.06,21.06,19.43,19.28,21.73,20.31,19.66,20.85,21.06,22.52,21.0,22.35,21.73,21.82,20.17,22.17,22.47,20.85,22.04,21.72,21.82,21.82,19.43
