Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
41376.562,41433.79,41376.562,41448.094,41390.87,41590.977,41448.098,41448.094,41419.492,41419.49,41376.562,41299.58,41333.605,41376.562,41390.875,40926.2,41490.984,41319.285,41490.977,41278.89,41548.133,41347.93,41545.46,41490.977,41448.094,41576.695,40577.82,41490.98,41519.562,41433.79
41376.53,41433.527,41376.53,41447.773,41390.785,41590.06,41447.77,41447.77,41419.28,41419.28,41376.535,41533.168,41333.754,41376.53,41390.785,41518.94,41490.48,41319.492,41490.477,41476.246,41547.39,41348.023,41561.617,41490.477,41447.773,41575.84,41419.28,41490.477,41518.945,41433.523
41376.46,41433.195,41376.465,41447.38,41390.65,41589.02,41447.38,41447.38,41419.02,41419.02,41376.46,41532.39,41333.88,41376.465,41390.65,41293.867,41489.89,41319.68,41489.89,41475.723,41546.547,41348.08,41061.914,41489.895,41447.375,41574.863,40528.04,41489.89,41518.23,41433.2
41376.344,41432.805,41376.348,41446.914,41390.465,41587.86,41446.914,41446.91,41418.695,41418.695,41376.35,41531.508,41333.977,41376.348,41390.465,40677.89,41489.223,41319.848,41489.22,41475.117,41545.598,41348.1,41212.484,41489.22,41446.914,41573.77,41418.695,41489.223,41517.418,41432.805
41373.07,41432.348,41376.188,41446.38,41390.23,41586.58,41446.375,41446.38,41418.312,41418.312,41376.188,40589.74,41334.043,41376.188,41390.23,41516.508,41488.46,41319.99,41488.46,40573.723,41544.54,41348.094,41558.55,41488.465,41446.38,41572.566,39017.25,41488.46,41516.508,41432.344
41375.98,34351.08,37163.57,40617.54,35414.414,33542.664,40711.133,38723.38,38780.92,22770.92,31907.637,31415.203,37069.484,33738.934,34369.11,28421.105,41487.613,41320.098,39132.633,31375.332,35154.688,35315.902,30003.258,40792.312,34440.75,36284.605,41417.863,35165.46,35187.977,22737.955
41375.723,39663.855,39102.652,40069.105,37014.5,41583.64,40014.453,37481.54,37410.02,33819.29,39965.492,41528.246,39214.555,38979.008,39626.316,41514.395,41486.676,41320.18,41486.676,41472.816,41400.223,37118.438,40922.54,41486.68,39604.066,41569.79,41417.348,41357.62,41365.13,33835.62
41375.418,38210.406,40081.656,40900.223,39036.09,31942.475,40922.39,41444.336,41416.777,31345.375,36759.67,33191.477,39985.594,35808.1,38238.934,36070.34,41485.656,41320.23,40779.438,33191.363,37301.51,38892.504,35637.67,41485.652,38315.188,34188.1,41416.78,37311.094,37334.35,31297.193
41375.06,41429.824,41375.062,41443.508,41388.758,41580.227,41443.51,41443.51,41416.14,39190.824,39336.1,41525.566,41333.957,41002.04,41388.754,41511.895,41484.547,41320.254,41484.547,41470.867,41539.23,41347.664,41552.9,41484.547,41443.508,41566.562,41416.14,41484.55,41511.9,39209.848
41374.652,41429.02,41374.652,41442.61,41388.246,41578.336,41442.61,41442.61,41415.434,41156.21,41374.65,41524.074,41333.844,41374.652,41388.246,41182.816,41483.35,41320.23,41483.348,41469.77,41537.64,41347.453,41330.21,41483.35,41442.61,41564.773,41415.43,41483.348,41510.5,41187.29
41374.184,41428.145,41374.184,41441.63,41387.676,41576.33,41441.63,41441.63,41414.656,41414.66,41374.184,41522.477,41333.688,41374.188,41387.676,41509.008,41482.06,41320.184,41482.062,41468.59,41535.945,41347.188,41549.406,41482.06,41441.63,41562.867,41414.656,41482.062,41509.008,41428.14
40342.73,41415.586,39225.05,39939.953,40352.113,41574.207,39883.668,38679.254,38583.96,37463.973,38646.89,41520.777,39252.957,36413.66,41377.62,40605.88,40463.805,41100.75,41364.77,41467.32,41534.137,40398.234,40471.27,40401.43,41380.574,41560.85,38809.836,41480.684,41507.418,37481.164
41373.082,41060.637,40338.74,41356.29,40249.29,41571.96,41315.816,40536.363,40484.19,40354.098,40623.68,41518.977,40368.56,40247.164,41023.086,40754.477,41479.22,41319.953,41479.215,41465.957,41532.227,40297.74,40776.496,41479.215,41020.49,41558.723,41412.902,41479.22,41505.73,40389.176
39645.926,36758.63,35809.375,40112.305,33593.945,39339.375,40057.844,38860.78,38862.5,27556.527,33230.863,37887.156,35774.457,31057.754,36782.066,39997.84,41477.664,38864.598,39498.668,37897.055,39296.25,33640.445,40794.69,40570.906,36718.47,39633.348,40352.445,39296.75,39292.277,27560.0
38052.29,29313.434,34046.73,35058.457,31108.385,34266.176,35186.32,36513.395,36583.76,25801.89,27581.93,33038.46,33934.633,26278.54,29345.451,28203.805,28353.086,34952.78,29740.027,33060.42,31446.732,30964.639,30248.885,33388.008,29415.479,32856.066,29785.77,31479.303,31495.709,25774.965
