Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
27.1695,24.8195,21.2035,26.328499,22.7015,22.6385,26.305,24.539,24.158,20.751501,20.914,19.9385,21.792,18.8855,23.996,23.0765,26.2095,27.612501,26.244,20.9555,23.225,22.914001,24.48,26.642,24.528,24.706,27.694,24.197,25.1095,19.531
26.5195,23.869501,20.803501,25.828499,22.0515,22.5385,25.955,23.739,23.358,20.2015,21.064001,19.8385,21.592,18.9355,23.296,23.0765,26.0595,27.112501,26.044,20.7055,23.175001,22.714,24.48,26.491999,23.528,24.756,27.344,23.647,24.9095,19.130999
28.0695,25.369501,22.4035,26.9285,23.5515,23.7385,26.905,25.139,24.808,21.1515,21.314001,20.0885,22.342,19.2355,24.646,22.9265,26.6095,28.9125,26.694,21.0555,23.925001,23.264,24.08,27.042,25.078,25.356,28.994,24.947,25.8595,19.681
29.0195,26.4195,23.053501,28.1785,24.251501,25.3885,28.405,26.189,25.608,22.501501,22.664,21.738499,23.392,20.6355,25.546,24.2265,28.2095,29.7625,28.144,22.4055,25.425001,24.464,26.13,28.692,25.977999,26.856,30.194,26.197,27.2595,21.230999
28.6695,26.3195,22.9035,28.1785,24.2015,24.1385,28.255001,26.239,25.658,22.001501,22.364,21.1385,23.292,20.1855,25.496,24.126501,27.9595,29.1625,28.144,22.1555,24.775002,24.314001,25.279999,28.592,26.078,26.456,29.744,26.097,27.0095,20.431
27.6695,23.9195,21.303501,26.7785,22.6015,22.8885,26.955,24.339,24.058,19.7015,21.664,20.2885,21.792,18.8855,23.446,23.626501,26.4095,27.7125,26.544,20.8055,23.325,22.914001,24.529999,26.942,24.128,24.456,28.543999,24.047,25.3595,19.031
27.119501,23.5195,21.4035,26.6785,22.5515,23.3385,26.355,23.839,23.658,19.5515,21.464,19.988499,21.542,18.7855,23.146,23.3265,27.0595,27.2125,26.494,20.6055,23.375,22.414001,24.179998,27.092,23.528,25.356,28.394,23.847,25.0095,18.681
26.969501,23.619501,20.7535,26.728498,21.9015,23.1385,26.405,24.339,23.158,19.5515,21.214,19.8385,21.392,18.8855,22.796,23.3265,24.9595,27.7625,26.594,20.6555,23.425001,22.314001,24.23,26.192,23.678,25.156,27.444,24.447,25.2595,18.980999
28.119501,23.4195,21.0035,26.6785,22.1515,22.6885,27.105,23.889,23.408,19.6015,21.214,20.0385,21.542,18.8855,23.046,23.4765,26.2595,28.4125,26.744,20.5055,23.175001,22.564001,24.38,27.042,23.428,24.806,29.194,24.047,25.1595,18.681
27.969501,25.219501,22.1035,26.728498,23.1515,23.8385,26.855,24.889,24.358,21.3515,22.414,21.0885,22.892,20.1355,24.646,24.126501,26.3095,28.4125,26.544,21.5555,24.175001,24.064001,25.779999,26.842,24.727999,25.706,28.444,24.847,25.8095,20.331
27.6695,24.5195,21.4035,26.728498,22.6015,22.8385,26.955,24.539,23.858,20.501501,21.564001,20.1885,21.892,19.2855,23.546,23.5765,26.3595,28.0125,26.794,20.8055,23.675001,22.914001,24.929998,26.991999,24.227999,25.056,28.694,24.647,25.6095,19.431
27.869501,23.619501,20.553501,25.6785,21.501501,22.4885,26.205,23.589,22.708,19.4515,20.364,21.0385,20.792,18.0355,22.595999,24.0265,26.0595,29.3125,26.094,20.8555,23.525002,21.714,24.38,26.442,23.128,24.956,29.494,23.897,25.0595,18.581
27.719501,24.619501,21.4535,26.7785,22.6515,22.7885,26.705,24.789,24.058,20.251501,21.464,20.238499,21.692,19.0355,23.595999,23.4765,26.9095,28.2625,26.944,21.0055,23.725,22.514,24.58,27.292,24.428,25.306,28.644,24.847,25.8595,19.031
25.219501,23.3195,19.7035,25.2785,20.9515,22.3385,24.605,23.339,22.258001,19.251501,20.864,19.9385,20.842,18.4355,22.496,23.126501,24.9095,25.7625,25.394,20.3555,23.375,22.164001,23.38,25.292,22.878,25.056,25.293999,23.747,24.9095,18.331
