Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
83.52783,85.38946,78.44906,92.60256,78.39851,70.20953,92.60256,77.4067,77.4067,78.55069,56.30987,99.926155,78.44906,77.164406,85.38946,63.13028,100.44416,83.318085,117.3238,99.926155,96.968185,78.39851,83.32559,111.15323,85.38946,88.92915,87.86913,96.968185,96.968185,78.55069
69.29092,69.07544,75.836205,56.08636,68.90952,70.10266,56.08636,54.202484,54.202484,71.19327,56.793407,94.00173,75.836205,79.695244,69.07544,71.636284,88.46369,72.28688,87.856285,94.00173,77.24245,68.90952,84.00001,86.00333,69.07544,68.7136,76.658554,77.24245,77.24245,71.19327
56.257046,54.644356,27.50758,57.596638,34.708908,29.659021,57.596638,39.579365,39.579365,20.882065,354.0151,45.000156,27.50758,41.1858,54.644356,328.39258,53.79046,50.276245,79.71993,45.000156,65.72562,34.708908,11.951865,64.29931,54.644356,43.408955,62.73265,65.72562,65.72562,20.882065
56.362614,47.25203,36.738155,51.516033,38.563087,36.435608,51.516033,39.610687,39.610687,28.810766,15.255191,50.29007,36.738155,49.89914,47.25203,293.1485,63.037853,52.650555,67.92685,50.29007,55.05425,38.563087,20.409948,63.714027,47.25203,42.38421,65.572525,55.05425,55.05425,28.810766
52.680515,45.89225,34.562603,58.392544,34.709755,43.69812,58.392544,39.074093,39.074093,17.996023,358.9949,56.00358,34.562603,40.99973,45.89225,319.6742,74.36645,51.104733,81.28264,56.00358,58.372997,34.709755,43.74929,76.6805,45.89225,48.641315,63.435028,58.372997,58.372997,17.996023
76.03663,67.75101,5.9467497,126.111145,15.255163,217.87498,126.111145,65.77231,65.77231,312.95462,19.855322,229.92711,5.9467497,59.281223,67.75101,96.38405,127.56864,61.09775,137.61746,229.92711,103.49618,15.255163,90.000015,137.03877,67.75101,208.88614,89.73225,103.49618,103.49618,312.95462
99.210915,344.8542,330.52423,246.03703,341.43384,355.07297,246.03703,343.7397,343.7397,350.75397,314.99988,323.89246,330.52423,81.38445,344.8542,49.39888,225.0001,91.468994,145.37578,323.89246,339.39362,341.43384,40.71076,193.05524,344.8542,349.47925,184.0141,339.39362,339.39362,350.75397
103.775055,32.905216,63.935394,127.304276,55.234787,34.94575,127.304276,41.1121,41.1121,201.80186,255.6506,11.427048,63.935394,106.99092,32.905216,50.826378,136.06076,89.61809,144.5665,11.427048,22.229687,55.234787,49.978436,162.0505,32.905216,17.030193,114.20592,22.229687,22.229687,201.80186
91.62497,48.298264,95.28114,30.735458,57.642197,67.932014,30.735458,15.859416,15.859416,77.59833,107.28162,84.138535,95.28114,97.84331,48.298264,66.775566,97.59464,103.94571,85.55873,84.138535,55.22905,57.642197,74.08409,93.28372,48.298264,56.518616,95.8955,55.22905,55.22905,77.59833
80.092,81.628006,75.06853,85.015976,71.564964,74.07676,85.015976,67.26398,67.26398,70.39019,27.997017,93.72279,75.06853,71.9354,81.628006,47.108105,97.52986,77.02354,114.05252,93.72279,94.19086,71.564964,68.09314,109.54648,81.628006,86.31949,88.228584,94.19086,94.19086,70.39019
