Gatsibo,Muhanga,Gicumbi,Kicukiro,Rulindo,Nyaruguru,Rwamagana,Kamonyi,Gasabo,Ngororero,Rubavu,Nyamagabe,Burera,Nyabihu,Gakenke,Nyamasheke,Kirehe,Nyagatare,Bugesera,Karongi,Huye,Musanze,Rusizi,Ngoma,Nyarugenge,Gisagara,Kayonza,Ruhango,Nyanza,Rutsiro
12.245294,13.276144,13.363711,10.948973,14.118243,12.245293,10.948973,11.503113,11.503113,10.137692,7.2,12.864649,13.363711,9.693296,13.276144,8.557102,9.6932955,11.367109,9.9571085,12.864649,12.620554,14.118243,10.390226,10.483357,13.276144,11.440978,12.783802,12.620554,12.620554,10.137692
12.72283,14.934577,14.007655,11.27553,14.799459,14.039999,11.27553,12.43434,12.43434,10.829958,6.638072,15.141414,14.007655,10.630672,14.934577,10.829958,10.703569,12.10157,11.792404,15.141414,14.689589,14.799459,12.864649,10.739833,14.934577,13.37825,11.631956,14.689589,14.689589,10.829958
13.009903,10.495713,11.200571,10.464798,10.144082,11.753876,10.464798,11.525623,11.525623,5.6233797,7.771331,10.739832,11.200571,7.9036193,10.495713,8.089993,9.085988,11.27553,9.826088,10.739832,11.592895,10.144082,8.12197,8.699793,10.495713,11.966954,12.224107,11.592895,11.592895,5.6233797
13.891522,15.042659,15.192682,11.592895,15.2947035,14.20062,11.592895,13.53236,13.53236,11.119281,12.031756,15.315873,15.192682,13.755579,15.042659,11.019764,10.990322,13.281023,11.753877,15.315873,15.175612,15.2947035,12.682018,11.298495,15.042659,14.480773,12.7279215,15.175612,15.175612,11.119281
12.904882,13.237039,13.18308,10.495713,13.527572,16.641972,10.495713,12.413477,12.413477,8.557102,9.178235,16.375053,13.18308,9.511088,13.237039,7.928177,10.00256,11.609651,10.829958,16.375053,14.48972,13.527572,10.685391,9.565437,13.237039,14.4,11.885453,14.48972,14.48972,8.557102
11.304229,10.105681,9.227524,9.107359,8.049845,11.043261,9.107359,9.114471,9.114471,6.2145634,10.787993,10.464798,9.227524,7.491114,10.105681,10.464797,8.759178,10.883676,11.183201,10.464798,12.261158,8.049845,8.699793,9.47012,10.105681,12.074766,10.587918,12.261158,12.261158,6.2145634
10.829959,6.193674,7.491114,5.506941,6.9527545,8.913181,5.506941,7.127636,7.127636,5.3999996,8.699793,7.386582,7.491114,6.0347,6.193674,7.5170207,6.519877,10.464797,6.4799995,7.386582,7.928177,6.9527545,5.634891,5.95906,6.193674,8.669949,9.826088,7.928177,7.928177,5.3999996
11.525623,8.825508,11.165805,10.805998,9.904906,8.435069,10.805998,9.531505,9.531505,6.489992,7.42159,8.435069,11.165805,5.8048253,8.825508,12.324414,11.090103,10.105681,13.397612,8.435069,10.239453,9.904906,9.826088,12.7279215,8.825508,10.464798,12.0694,10.239453,10.239453,6.489992
10.464798,10.086427,10.538843,10.495713,10.464798,12.181625,10.495713,8.557102,8.557102,5.95906,5.5887027,12.429127,10.538843,5.991594,10.086427,11.4862,11.609651,11.177405,11.440979,12.429127,11.252519,10.464798,10.086427,11.165805,10.086427,10.931203,11.631956,11.252519,11.252519,5.95906
11.165805,13.358861,12.904882,9.114471,13.5515,13.684735,9.114471,10.703569,10.703569,10.483357,8.669949,14.372974,12.904882,10.805998,13.358861,9.726664,9.885262,10.365251,10.086427,14.372974,13.358861,13.5515,11.4862,9.178235,13.358861,12.7279215,11.165805,13.358861,13.358861,10.483357
