system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2008_01_01,15198.36188483646,14910.574147916943,14978.401136117787,15150.809099595066,15170.048894446074,15127.687601285214,15203.997109608968,15138.893997634534,15240.007261858966,14844.05555446163,15117.933430655165,15194.066172516192,15144.156423843255,15036.208852924303,14886.47462108947,15035.128283519598,14897.667813418127,14840.022598999862,15188.123707997835,14906.618994269435,14818.288147739268,15193.958698220027,15159.933132761113,14889.33378471186,14824.579631545403,15195.980035063414,15105.830190107787,14823.473537761485,14733.520381543036,15072.3808321812,2008-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_09,15176.132082337926,14745.803735277519,14885.753440329492,15049.465383349154,15007.807200652502,14923.54405846034,15132.732039318586,15015.390328476964,15099.872509723928,14800.58831751772,15183.910937896413,15098.042510681462,15092.566197457647,14882.103823677362,14704.26881936355,15035.09804278396,14796.763526858811,14658.560318517722,15010.076017988653,14794.53374877096,14783.954936318478,15106.564408905984,15027.406113005354,14765.373461529196,14711.281557796861,15077.214991319837,14946.383284173664,14759.213821798838,14719.38088601073,15075.763586547619,2008-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_17,14883.853191398095,14716.138263665593,14926.588117294385,15135.711715664766,14940.197747845541,,14918.675733249886,14834.53656509695,15062.513893376412,14799.12870549451,14926.997481108312,15163.773920406436,14941.415441176468,14925.75269600405,14849.21578771472,14765.692114228223,14802.702113945,14624.304691930916,15017.284688141595,14734.396206829268,14717.993452160217,15004.62608342362,15088.113653320073,14828.103541051898,14733.635725108505,14960.84511484956,14939.748689027409,14707.889650694717,14644.054304018016,14835.120207195543,2008-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_25,14939.84701443687,14728.28046442886,14855.753333786526,14965.644286951418,14783.201758920657,14809.289536025266,14902.560925973035,14877.566460620184,14954.3695792011,14723.612096447841,14678.998422908584,14943.561103957894,14875.46233194412,14812.507603481608,14770.962400531724,14842.791706969221,14687.973370873564,14643.92402977187,14858.163630486659,14707.805166007873,14775.57435588422,14907.109444074367,14940.584661783709,14695.09307152051,14670.488541457878,14957.612946814359,14904.107310219813,14689.890822207986,14608.599710714549,14867.607280324404,2008-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_02,15166.163329985988,14779.849604359122,14778.763895586542,14964.910578474304,15002.073129835198,14840.716993396702,15150.47263257019,15049.477935500878,15143.386423056438,14761.552238805973,15065.754427510352,15043.944054486063,15054.837289391602,14978.0765301401,14928.464996978038,14983.363834372813,14780.094639458199,14727.921645806196,15066.032316410157,14833.562852267032,14737.335168619877,15160.27677439798,15052.09137822088,14551.942802184438,14869.35669958448,15146.152738003888,14998.203055533093,14916.06783315967,14579.464229171312,14881.252206021309,2008-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_10,15047.716667223365,14889.176545305698,14915.89824926427,15055.82279069316,14994.889902485045,14923.525348064015,15032.310516915315,15002.337958980694,15047.417441481952,14854.003623031453,14983.836916647677,15131.723361470304,14908.815497079959,14942.680503638385,14887.358880918006,14928.228743721531,14857.396119900932,14845.170389428142,15058.133454133429,14854.348709101247,14813.825914945313,15036.74839546833,15077.463616789077,14887.354699493457,14832.9647032534,15032.604444694009,14947.43763057553,14885.921409838298,14756.422918799199,14936.001941022774,2008-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_18,15176.575522261553,14986.099785446751,14960.93692746659,15277.448773829567,15240.819962120557,15144.996741784033,15071.218922503926,15056.857435504433,15295.98722220577,14899.805750380994,15180.680622402693,15300.376809222074,15228.66151306561,15092.956544581646,14921.568056704928,15082.662509500775,14937.16527241463,14801.550190683745,15280.87652853366,14845.286751320964,14824.717453905529,15145.76991734744,15254.773648349708,14888.42713920104,14823.151727522794,15202.303049020164,15109.49150207664,14829.396828241208,14721.990866013359,15229.451405219717,2008-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_26,15035.014149153623,14998.66349946445,14946.22856540252,14998.066484008046,15175.306426525178,15000.594974343996,14992.216096761436,14788.0,14997.764622659066,14818.0573840199,15133.359120501065,15062.08299914263,15011.48318964841,14950.850631002806,15048.372540143486,14949.248766591198,14855.154995606721,14906.955037810696,15239.356179690527,14756.09697775197,14745.198033423861,14888.286418488995,15013.932319341126,14807.728803947148,14884.124286873153,14992.552814338675,14963.786608201732,14736.873994994616,14753.476405260713,15039.759642963536,2008-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05,14830.413577226163,14795.47474373224,14717.834524637865,15036.345359376997,14763.310093919927,14950.419918869766,15009.494019991811,15032.437246406726,14900.562046908315,14715.329105066148,14938.003634393257,15033.992684413728,14790.337432495891,14736.324262026912,14789.203165767954,14762.14320574988,14698.78901627219,14659.699655392104,14762.563524867866,14834.982187636822,14732.371767639892,14936.842989456009,14855.962686567163,14849.696577487643,14771.946228162846,14854.770313884317,14853.051097427746,14851.153952880508,14693.482280715363,14942.3606333402,2008-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_13,15009.742004695963,14755.21577124328,14879.41788310623,14937.485456998947,15011.480256251516,14809.548713032907,14964.968387860159,14900.692381270686,14834.86573252688,14767.48155386062,14977.69477861813,15107.71183832581,14983.570603556089,14815.55749738927,14817.233791925191,14875.319906065532,14770.498273400897,14699.122087672562,15143.564350117154,14622.662981783382,14735.803493557605,14935.911955262072,14903.059352212997,14853.461995055826,14854.651960189343,14870.542410792053,14796.225626676527,14844.159295138295,14717.544058769785,14973.692000915307,2008-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
