system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2008_01_01,5653.170819170451,5355.2860685650685,6282.080032335179,6003.996730279928,6242.8433862576785,6143.805674624137,6112.605281867059,5956.698320550164,5651.576589531241,6119.264180559127,5950.273050166011,6069.051529875399,6436.794393575066,5934.152479935268,5824.958835758834,6578.480998226218,6311.4556327338605,6267.754738521465,6107.864143138363,6400.1843608357985,6261.565979690159,6015.01322423906,5806.87252018136,6585.887038574656,5509.554284980088,5595.058705463663,5774.733970923015,6544.202720745514,5247.364004269992,6614.1124964688925,2008-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_17,5126.576782770274,3011.3797104494856,4819.290703220763,5095.513871298547,5077.748236656785,2922.8190199313212,6141.9991572875115,4383.48287962319,5364.502782733735,4493.121005070313,4909.928461671864,4946.894098592618,5105.141985713271,5405.453200393753,4840.005175230173,4796.090531639988,5899.533223866466,4979.6927107627935,5104.133827770372,4963.095368678738,5064.911198083753,5261.461577281017,5475.691886910685,5747.126061246965,4748.176805118816,4938.87157097898,4200.345960660553,5802.174958260426,3426.024535230697,4117.574414266111,2008-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_02,5128.472573461708,5957.461121542743,6318.256140482251,5550.268097782835,6037.1739093586175,6356.7494453310155,5978.382713081762,5813.825294130487,5633.198334758509,5556.777652517508,5558.187911683835,5573.968554709196,6200.827188510851,6093.474995093529,6299.60493680496,6158.996454682975,6588.146080386489,6339.966334160062,6342.552078762017,6550.364465002273,5975.384746197542,5917.823513756425,5407.239424267435,6843.509143215747,5407.021318940543,5530.9934831120745,5905.718287684674,7132.347545412235,3764.824763050056,5193.975228202799,2008-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_18,5122.583747195698,5169.109974946673,5691.724217740287,5760.750903922687,6013.527211145473,5893.796943729927,5863.348703987955,5104.690767754923,5528.519228094879,5689.719062792672,5509.061157854819,5675.201684798819,6094.374252712914,5774.307513700394,5197.860525421869,5904.024702131652,6010.540375063854,5629.470849568349,5934.710290877354,5604.21557821091,5383.604467913853,5455.87738036027,5510.480344614118,5699.775587606778,4621.998381119994,5391.2389369628745,5591.063476249966,5550.280952739126,3851.763756971745,5986.452592894238,2008-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05,4677.690937925195,4591.327130255624,5808.144915658511,5515.340691301877,5868.268688221033,4854.478669684223,6046.400586463559,5446.44329997362,5884.54411795164,6008.176506715112,5748.533665229824,4769.007471106464,6074.9397861709,5740.611733268923,5228.331952087088,5349.2140396423465,5849.047852675746,5446.488935463673,5653.087169928456,4893.336476651029,4803.417271226422,5984.609204479353,4963.859361181538,4417.850161447861,4378.204860457258,5584.9009772992695,5381.26067917231,4863.4279794824515,4242.571937714695,4711.341093996897,2008-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_21,5961.078906260745,4898.936117902929,5403.804368506593,5572.6325048322915,5668.34940811958,5240.449596247803,6328.158547887292,6033.480552862836,6061.080989676565,4951.475004750821,5574.115760646528,5786.6483669377285,6294.839803068862,5307.977555518659,5188.657699882498,6401.134076847564,5471.96687599747,5452.084999591716,5679.079863972838,5411.643349154311,5062.514664085039,6481.009201490391,5563.118971463949,5932.041913089199,4768.817395602289,6105.414810286669,4701.278267587561,6042.035796203231,2888.5222555663954,5839.913931053074,2008-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_04_06,5024.624750149217,4127.495521904173,6137.519364429587,4726.499922683344,5764.956401021389,4756.254524869662,5730.00684931507,4918.558133088267,5335.273309090476,4451.756684532994,4730.198901222966,5202.588048568045,5251.159940086868,5152.94348646568,3983.7771514063634,5089.169676082664,4833.1926156057225,4019.8003695381485,6297.062058125197,3853.6398359681807,4433.846271879928,5542.716046689532,4669.582586522022,4341.460059422708,3926.1352907042497,5004.983491798139,5028.610790497926,5702.8189481681,2552.739883564892,5252.330114739478,2008-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_04_22,6044.6003582177655,4716.004346089868,5000.621307806241,5942.21115861285,6489.0064296081255,5877.751164073143,6597.97939268441,5869.537015165585,4939.103238758583,4553.929831236133,6016.5630065505775,5700.9219742895775,6671.430782737347,4456.871026132641,4335.735095010656,6613.392198309207,4317.287121039367,4414.483592033842,6293.871126898043,5132.1484859736265,4686.524755309044,6014.511065930198,5479.072283473855,5685.480026343794,5558.667579733495,5329.9576394487685,4915.973987315422,5947.601825604556,3671.546941934006,6511.448047478799,2008-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_05_08,6436.730345942743,5240.643443484323,6314.554619506445,6355.059220011373,6631.272218666728,6496.164179681139,6750.784001853521,6224.807981465959,6114.479786607643,5767.742412868514,6065.289764510329,6512.427636078777,6549.9238562447035,5446.789486242059,4934.522743345911,6753.993747411171,5556.775253173864,5527.58197418973,6207.300484174255,5476.858466551733,5518.05832017959,6517.147170036328,6356.198757443549,5279.348853136475,6151.685867631752,5509.809492917824,6131.040649511117,6444.923887129988,5561.480092130618,6793.8005250886845,2008-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_05_24,5657.096421050044,4558.35327950913,5410.480891808086,5772.94082774304,5970.986345915765,5482.48651759194,6874.826906368556,5373.026888341883,5095.88914959656,4732.887595703202,5589.2693325174705,6078.4613437469,5838.6475636280575,4168.489518259641,4509.40042767328,5949.532665812416,3935.5092092086306,4032.2284783654068,5837.203446449761,4096.79493072921,4969.428189891502,6050.06961835702,5499.365279169859,3949.922203393284,5858.847156206949,5540.542130534245,5655.048269204966,5978.302735559261,3583.425500335543,6313.738210941182,2008-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
