system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
2008_01_01,3087.7418395013406,3379.0911999111295,3812.0188728168214,3390.430227402437,3529.401684211562,3423.5429472311266,3458.822901508338,3321.423685651606,3207.5498273551143,3340.774176999593,3355.9320667188294,3534.544101223786,3939.8531318474984,3314.34954616551,3584.5195778883276,3973.0903616898686,3755.5856381013905,3771.2556832310006,3651.0298706091166,3950.8528541801297,3555.838443246153,3520.3401507560357,3219.0480740167354,3918.764526604952,3496.383589515887,3353.984120845016,3300.0938213567265,4008.582256171597,2877.858320469776,3835.6627199504396,2008-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_01_17,2984.7042356259567,2157.00078654468,3321.3602599016112,3430.0690597622065,3485.7695632067584,2181.2458192002405,3346.626597280444,2793.2870031613584,3378.189607576849,2969.2564453457694,3355.9901031472436,3298.6311810415887,3352.233113938256,3340.672605064351,3370.843627487376,3178.1475403378317,3588.417077407888,3238.643353546429,3777.4564848860546,3219.2787185043535,3097.5313008559383,3251.908118225541,3621.012333665082,3506.9316387661365,2961.4932987023285,3045.965574890284,2775.9560025260357,3535.9601997483082,2109.3196404126156,3043.7882022963327,2008-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_02,2994.90123769779,3309.4820883671578,3584.382489086364,3489.9690324047774,3641.260107413626,3429.8615569602616,3437.9554620753597,3295.599552441156,3345.9791001541525,3070.207183428682,3045.028106913036,3688.5252164457925,3312.259312225098,3392.68472199158,3670.5985940983305,3521.8006395076627,3743.9290781267578,3554.215240843064,3846.5097241994167,3631.0004258688546,3297.067148819748,3391.2226129498576,3333.6954631212793,3758.96492570683,3173.7839470655917,3308.8066828120373,3374.927856870016,4253.952593387959,2172.490698774424,3380.7398932616015,2008-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_02_18,3087.76301754472,3769.6756397304625,4061.532380365991,3611.1868971006274,3618.8132323272634,3833.5481031198474,3640.159247299372,3206.2222220355507,3525.0873541656188,3569.9893254994818,3173.409118938617,3591.8615799227177,3573.7412495851304,3653.5412657195902,3797.3853236042587,3930.377228484994,4136.764688990797,4160.989787419369,3721.0054725858486,3634.673084820373,3460.7508840070705,3596.269373740191,3406.5904280407995,3674.5103145833937,3370.4717980879345,3550.450256293496,3715.215089008877,3678.9733562040037,2686.626040499659,3728.3464237474313,2008-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05,3026.369032305127,3228.3705990156714,4048.3200095407697,3850.340275156338,3460.5193439723353,3227.832814861735,3820.7924541689617,3644.4501427181794,3353.558721362017,3991.8334316305727,3022.7385551497177,3347.8358987250035,3265.3242887904153,3750.9424749769837,3679.2222675965086,3357.9287346257065,4205.792872170641,3863.963388587967,3585.0140385053596,3295.8086533687024,2901.722394794031,3979.4260543920923,3238.120158009553,2876.495089637755,3049.007122276457,3569.5838641917367,3339.9980625557073,3131.0318282731264,2931.0354093400797,3124.26202097487,2008-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_21,3625.180326783761,3539.6686869505584,3869.534683740207,3953.6815395110866,3984.7308014260366,3809.677595353308,4154.410266732315,3870.9348402043515,4168.668352718738,3328.4412839908737,3515.2124879242197,3880.9000169532164,4026.144282038201,3760.6308775796756,3549.242279513448,4080.379571770719,4008.4928730364413,3806.178897992144,3980.642392993548,3690.281533306797,3308.322253504316,4364.444075531625,3699.08318347975,3876.2686263421324,3239.0509576377444,4269.6244984460145,3440.285256840417,4164.671436086795,1992.6497343935482,3985.907442723466,2008-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_04_06,3471.9240612544622,2733.255825577154,3640.177101880975,3278.23328709494,3845.6681709669565,3247.6838884316285,3778.982309073534,3240.5969803218563,3685.2651219490517,2805.4064162730374,3239.5952385753153,3598.1005734863456,3757.0547161631534,3393.8151391174392,2623.698796612024,3801.842124218905,3200.01315869218,2680.348572361795,4076.364004687152,2533.475373751336,2793.3237478504657,3867.3328432270782,3195.150448086788,2934.1244152062427,2312.564391611142,3491.4847214143447,3294.7218115620367,3805.2610047547264,1539.1652402929415,3734.02683085606,2008-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_04_22,4191.836106267987,3336.2377348689993,3479.724522822962,4046.4619738487786,4346.161187384268,4029.124275125191,4571.205469315648,4024.091134672532,3557.284463959715,2922.823323132808,3791.72861221079,3756.845515290047,4226.772327831277,3212.415530125757,3102.0595624144944,4373.965877167712,3208.446100490418,3187.605944554756,4363.898125905665,3497.226989885622,2884.488638328814,4280.436891184775,3666.161583927833,3647.946907950956,3802.5696542378423,3817.514957341592,3501.26650871162,3775.6552637950012,2418.0763563916043,4396.761507644039,2008-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_05_08,4307.571301585941,3627.4800335076725,4149.802562971845,4321.8978260375225,4454.307967585524,4497.337879179922,4614.924928321126,4079.3775286486325,4276.003864259739,3685.95481806576,3843.87535975518,4548.108687645786,4285.591739834756,3492.5504659475496,3227.3597541621098,4573.361338711707,3872.775117532121,3643.6007302806975,4207.439337029423,3589.663105030106,3154.371057919876,4493.643702934527,4433.118271328343,3487.9143400381226,3622.5370239513436,3820.670043367948,4125.460095609472,3991.9022026016655,3224.7509792014757,4545.771065921428,2008-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_05_24,3429.516981341173,3023.930159116117,3363.1580052478907,3865.439881750996,3948.5682653835106,3759.272857338552,4514.669789162733,3609.3283677635613,3434.905404045927,2897.239513253555,3292.1034732016747,4102.750700050867,3577.2219155491753,2876.7330032156324,3028.2350718079024,3784.2647879583674,2712.567004135627,2652.9326056778905,3672.427399933032,2683.0098262974025,2776.8695248017716,4110.177396648661,3621.6524600554226,2578.3491729224143,3567.385640521754,3665.0248777011398,3837.8854653823855,3427.3886237355364,2179.2114817164925,3970.6886347407385,2008-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_06_09,3545.0426273569146,3792.7394522498043,4031.8909398765277,3903.740311540649,3457.6461160054896,4338.838961589394,4093.2886370876686,3918.4076179083977,3805.41304379987,3439.0519566666235,2941.4110858184076,3778.2533862585474,3138.909792329982,3717.772342577634,3585.4034533132603,3635.095000990437,3876.3804823074083,3531.15000045365,3406.9461671256495,3956.9978366578316,3586.3478853173897,4186.724955861348,3663.3900418607395,3985.3145114904905,4061.936791598076,3808.4712385205926,4052.577891799068,4022.254724912447,2880.9031326571676,3855.002195277928,2008-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_06_25,3301.7558988232636,3727.7068772408143,3977.041700641787,3738.660466173964,3255.77793383836,4194.537039010062,3746.719702279244,3627.122789716223,3601.477814533285,3382.3388009019204,2791.856116459861,3693.477157004315,2954.7477282944237,3816.883422153114,3945.387913032339,3480.9361347715685,4044.6144628731176,3845.7175716994657,3052.7861496737264,4022.9446629954905,3551.925129539059,3862.937648886135,3614.157066210719,3971.827019456189,3638.406455982516,3571.622450905016,3977.3651480269396,4036.5420622318898,3154.039322503517,3605.4719646805415,2008-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_07_11,2925.568858112011,3280.055094012244,3592.004339107715,3380.2754042069346,2898.9971823114506,3729.949368526182,3426.639093225987,3337.822407846391,3327.9992070278645,2953.2125565880597,2439.0477005368166,3302.2615939529655,2684.9662613926503,3611.530569604011,3663.973799442763,3060.831632331493,3628.9936941018873,3482.7471170509093,2724.594927218229,3942.835505473224,3044.430072723034,3516.076471118636,3362.997582689701,3781.3333934701145,2988.3477282035365,3321.504839713247,3443.827662093199,3557.3156858658162,2074.023581917531,3136.1069319736253,2008-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_07_27,2922.7841353649405,3384.893823232021,3628.1233144182106,3347.027499715751,2879.567857592496,3875.498156567108,3447.209499261495,3373.511431734676,3369.889429208,2750.9674104776873,2417.3070522208823,3337.8712666389974,2569.084168363185,3339.870268270962,3112.7040144488233,2887.943331202392,3608.0392235520203,3450.134768683597,2572.1086994084053,3691.401808153245,2751.2106162693253,3497.1136028481433,3379.3679691645557,3617.4176935992186,3079.6178378828536,3290.539028813719,3701.208555726479,3177.364210302508,2032.2798968372501,3205.3297863798134,2008-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_08_12,2256.6087353864996,2815.3421149938067,3059.729234963587,2653.0023922683363,2402.9046530552096,3077.2938451937875,2766.1658880940663,2689.634446574339,2678.8991904582945,2483.261063882469,2066.4387181687066,2522.92241273479,2396.402908306391,3011.959190205165,3162.4001548088168,2567.5069454448862,3170.6322521435704,3247.797385158367,2087.3743040763843,3306.4014556483608,2791.886069138533,2764.4094132395558,2549.3309430458085,3339.0749197610426,2890.0423965435416,2652.9565649965602,2935.3078161940075,3287.0007289226623,2131.9912624840154,2410.7374757314956,2008-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_08_28,2372.6424232947697,2963.9578337033204,2970.5861955635437,2773.31372825469,2437.358017791722,3387.826080389834,2890.453456514813,2785.2111960270713,2696.378429678459,2518.325743978924,2170.3367329396674,2741.962936764511,2375.638460686836,2991.8559564606985,3151.70541403934,2577.9230947578826,3053.756963183365,3302.815462224521,2063.8692970961215,3336.1174431764853,2836.0974815625873,3116.965470051164,2618.8324317552024,3326.1758797186767,3082.6720326999693,2874.269442672749,3142.7324915946624,3397.124001990982,2130.023872080454,2529.40416486236,2008-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_09_13,2314.4784168803612,3184.0151175584933,3083.4131804037092,2472.436009096077,3100.4880957571913,3354.3795750679383,2763.811879869097,2612.9286207493224,2760.030511674145,2701.700467788869,2272.4050336270757,2551.614203286586,2247.033717305486,3062.7377255091433,3703.5680945336144,2611.191405476221,3433.3923524030197,3896.53443479681,3212.219848916473,3134.472082776022,2645.055739543963,3095.671196877284,2644.8588158127486,3028.5563104375833,3290.5937802329263,2951.493393444437,2935.0493566514942,3097.909461196062,2259.4961610231576,2349.111666661887,2008-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_09_29,2583.0322028260916,2821.7099721873274,3022.371399331038,2917.8155702103504,3646.715148146663,3087.109871878776,3262.9756422137925,3078.4460249752583,2850.2602132148204,2223.9654029836015,3062.9238281939192,2970.1121893615664,2764.3833305959784,3157.609127553258,3040.089113450361,3137.5151975923363,2716.371622304116,2813.4410227097464,3546.301794989815,2543.311837990902,2018.3154567235938,3282.9975000218174,3048.0224927775503,3295.3247492926666,2825.7553684262275,3048.190424432014,2985.9536114581088,2825.6152625887994,1352.7377850689415,2818.0689497939493,2008-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_10_15,2566.373398957714,3148.4887826213585,3180.0335424536424,2884.3929710062557,3830.228729000143,3424.5514808930484,2968.818915983667,2952.239391897905,2750.036827342151,2746.424698351895,3110.7867758030225,3200.688060844506,3050.2806996838112,3107.5284817101747,3543.0613833671455,3376.0830340414855,3196.416293170871,3445.8980175472,4046.3881575627693,3075.086501063393,2543.7714250121467,3107.5080234901975,2849.4649121514067,3297.4011501644577,3354.9370614412514,2985.8879482017355,3127.0587530842545,3205.806278159884,2271.0742641029606,3132.0458599438484,2008-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_10_31,2957.9490095973724,3914.3419276099185,3487.922263850603,3336.4328399951787,4551.438450800496,4251.838532086461,3897.2570658942814,3575.58796198309,3586.7826656843513,2965.2201347322184,3832.4505461223307,3308.223701520812,3754.0393460233763,3130.374987167025,3916.6338264775727,3763.221672354181,3398.600583502638,3943.2266885435165,4508.618545109443,3343.0034714331464,2704.1645680877305,3850.5340102763103,3368.4411736518127,3191.9060911637584,3956.648661495805,3445.214324925375,3815.708287231971,3300.1929602672494,2664.462789599063,3700.9480493222413,2008-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_11_16,3689.729188228337,4021.5113170870823,3933.6501866344256,4077.392089005512,4627.702834675937,4430.75916743455,4549.6038382513325,4021.397652331374,4138.886119469669,3737.2641220312235,4137.589669394374,3710.5493635507814,4328.179387182935,3697.8930333536723,4235.311215473711,4336.92947970503,4132.779834529966,4398.63374491572,4754.184473501528,3880.4649922071712,2977.723252298582,4197.397692848039,3869.535110029857,3871.9078770206215,4262.8966698198,4069.69243845307,4121.861109151383,3830.6781823812394,3401.9942251676457,4339.654658267527,2008-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_12_02,3359.288970428612,3678.68721846721,3665.628864278295,3650.7937211063354,4171.707411064889,3945.2311390342084,4179.920407143842,3717.473596683375,4098.631391531659,3253.40923147568,3720.9901677768644,3247.5080516474436,4080.8939072935336,3524.812894966468,3794.8773680165978,4009.391380631746,3887.0310727941705,3932.270244610849,4394.664692303663,3838.048371266586,3335.7440979053367,4105.396043520694,3835.380443998792,3801.315745873772,3375.9811793603226,3950.285334626792,3642.5111870122932,4031.582965692847,2851.3132362863994,3778.7051619036947,2008-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_12_18,2971.8761968450544,3038.918264114354,3052.890020507798,3232.255142020971,3463.668502912813,3254.2347077364066,3858.243869314358,3666.2813369303753,3680.283501959452,2530.69076837254,3149.7785234527228,2875.4247821232966,3667.702389726358,3166.5219082787103,3065.3602837721937,3741.402803646813,3558.0213794098545,3388.068444529977,3364.942267593559,3494.7898218588234,2575.4393478638654,3543.788541277319,3302.0414580737447,3389.299389371473,2709.710867491607,3387.984739003429,3052.9462562267167,3088.105610346093,1783.1848080268724,3403.325516699436,2008-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
