system:index,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,date,.geo
20080101,2.308186654008598E7,2.1899430991813425E7,2.1797924687679153E7,2.245872890895072E7,2.1691859893974625E7,2.2099190162996862E7,2.1969137911585756E7,2.1923547021308247E7,2.2466463784601588E7,2.103605782250547E7,2.1396001512726575E7,2.274935188610638E7,2.2123367215411346E7,2.197308867508131E7,2.167571513824453E7,2.261561609116254E7,2.143836566412823E7,2.1324278806687627E7,2.1756299220418356E7,2.1527653670539964E7,2.053644018350005E7,2.2627463685364295E7,2.2642611124088462E7,2.06244292568525E7,2.0801037067341965E7,2.246312620954587E7,2.213300141560385E7,2.071452855215016E7,2.047445321807112E7,2.2404894011830937E7,2008-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080102,2.238933391067386E7,2.1279676972302217E7,2.1376994775462333E7,2.1856186348431118E7,2.1409752752096955E7,2.1538366474454667E7,2.2504564112105288E7,2.2500622520199634E7,2.207510313137273E7,2.145231598146598E7,2.161191917941066E7,2.2065470795528267E7,2.1821438296220228E7,2.1846742212742385E7,2.1096967341310367E7,2.2014626211153377E7,2.1431892380136658E7,2.0974679152224626E7,2.1155487727956265E7,2.2305279148725472E7,2.143186956270302E7,2.2675490751919642E7,2.2053756124911793E7,2.1730806352106784E7,2.0368888508544132E7,2.2422359824638043E7,2.1588026617783953E7,2.1728746308769353E7,2.0426063746718574E7,2.189824219897482E7,2008-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080103,2.2174053936150633E7,2.1716406557512507E7,2.1002713638884913E7,2.2095793992688496E7,2.2507420855720885E7,2.2257170886337545E7,2.169539660405241E7,2.172325795743712E7,2.1535922868296847E7,2.0504845263752278E7,2.268253018168292E7,2.214794599033771E7,2.2814704962452427E7,2.094771216179695E7,2.093025908427737E7,2.2555446689608444E7,2.029209873887191E7,2.0235812213030446E7,2.25358488963485E7,2.1485711384833846E7,2.0707194662288096E7,2.189645833491079E7,2.185537691319691E7,2.1134142780890346E7,1.9765085667402804E7,2.158748929480645E7,2.169058919723783E7,2.09556958181397E7,1.95963061403849E7,2.249629923156137E7,2008-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080104,2.457546347672096E7,2.289301279537191E7,2.293786172443256E7,2.4220680823643614E7,2.4517871312996358E7,2.401592603985238E7,2.4833256942908242E7,2.5236290403751235E7,2.4129487332349874E7,2.375304797188484E7,2.4931772703993123E7,2.4354127383574095E7,2.5319804302776545E7,2.372187068112732E7,2.2075921542464692E7,2.4787217093806546E7,2.3022532706211492E7,2.206078361409964E7,2.435861523148167E7,2.509975677185823E7,2.3327402813058414E7,2.5225968503375307E7,2.420018773488592E7,2.4421760557898164E7,2.1755448804766268E7,2.4766188846545845E7,2.3670596220590055E7,2.3153583633562166E7,2.232266752884918E7,2.460519440021511E7,2008-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080105,2.279078691204212E7,2.2097140243620496E7,2.164322086492769E7,2.220494482872358E7,2.1900107967644464E7,2.2211318810220018E7,2.312346273338337E7,2.2815815726188168E7,2.2128896059950907E7,2.1476485347422335E7,2.187416749000415E7,2.241065283076995E7,2.2521072505549185E7,2.1724313458388533E7,2.162115157949487E7,2.261872340427444E7,2.122932698182783E7,2.108838844767686E7,2.2166179566570055E7,2.248134757952872E7,2.2400033600926306E7,2.265693341069895E7,2.227642986344392E7,2.2627977680902738E7,2.04161826929321E7,2.2303170310293134E7,2.197986214008595E7,2.2932656380982846E7,2.0424072965146866E7,2.2335899403350193E7,2008-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080106,1.970497242988438E7,1.8867054508357223E7,1.7241602998638794E7,2.030161439451364E7,2.1233397561612472E7,2.049660458143772E7,1.8568437131790098E7,1.864319698249658E7,1.8313943578077793E7,1.6398943065650439E7,2.1152996956859555E7,2.0217869602259196E7,2.061319719081848E7,1.672611032034205E7,1.7070929734743025E7,2.059416892236283E7,1.525023616533988E7,1.5525710559958272E7,2.097957691165006E7,1.8101327256697413E7,1.745826885941268E7,1.859830143487135E7,1.938797703963774E7,1.833930792596834E7,1.5533314046739902E7,1.796573182391629E7,1.9177948927417263E7,1.7704831138712853E7,1.5252083109248856E7,2.1083701911004838E7,2008-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080107,2.2420064473354727E7,2.042793976263166E7,1.8989973455726627E7,2.163947366078541E7,2.1975571438380156E7,2.1483407256013814E7,2.226869979945736E7,2.1774972223465182E7,2.0348955664699767E7,1.8974508251779787E7,2.208867812382718E7,2.1961135963684727E7,2.24768923145727E7,1.886032832954355E7,1.9163204905409317E7,2.270856943857933E7,1.754674377419747E7,1.7830012320241068E7,2.1805636589739997E7,2.082859657402382E7,2.0483832084075764E7,2.14482188966757E7,2.121278172512352E7,2.1480604026466407E7,1.797638287965609E7,2.047615547257014E7,2.0492337755412485E7,2.0907670233950563E7,1.7750048156106662E7,2.2491958060275987E7,2008-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080108,2.1451705253375314E7,1.9360115321671303E7,1.875716163078388E7,2.1311348443988863E7,2.083581245674127E7,2.090941492688123E7,1.9902357157212947E7,1.953166474935861E7,2.002468837360743E7,1.781877611167525E7,2.0228801721065104E7,2.151450587607068E7,2.002183467719894E7,1.859862390454054E7,1.8122364251283616E7,2.12236504112189E7,1.735019210494628E7,1.7301080652362254E7,2.059546926766113E7,1.8847460976942163E7,1.9029386983847406E7,1.9952733872804873E7,2.091313666948955E7,1.8772976496674307E7,1.71955740403404E7,1.9529731901865993E7,2.0294844677942358E7,1.962504305790025E7,1.6990466377130985E7,2.1565587252362758E7,2008-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080109,2.2321122181195144E7,2.0763020406010255E7,1.952798406764131E7,2.240565638411786E7,2.3133815800740518E7,2.229220797251624E7,2.1499906729942854E7,2.1170861957571097E7,2.0782636853946373E7,1.8583006035835035E7,2.2956088399110395E7,2.2472574036081865E7,2.2170342675013475E7,1.924491670073469E7,1.9280347597987723E7,2.2626498257372033E7,1.775974167308479E7,1.787642168622053E7,2.271520995884204E7,2.0361276518625017E7,1.9600236070850078E7,2.124527594845384E7,2.173785652117151E7,2.0333155290357027E7,1.749206006882405E7,2.055156032446694E7,2.1266522360785823E7,1.996482014752774E7,1.7150965053829093E7,2.306060970305957E7,2008-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080110,2.279590335489496E7,2.1932443625921488E7,2.21655334339247E7,2.215316590052343E7,2.191353356095577E7,2.2157979750329323E7,2.447097332649079E7,2.4703662631101605E7,2.2962428030140664E7,2.3140962093416132E7,2.132861604514726E7,2.2357933476696134E7,2.1453500084350344E7,2.3049795214356277E7,2.1571631867171474E7,2.178407152472313E7,2.2690568493532967E7,2.169687577798704E7,2.2680189752177626E7,2.4595057465113547E7,2.2982333351812422E7,2.4288642622219115E7,2.262260764278994E7,2.4537076943849783E7,2.09663700753217E7,2.386086821261956E7,2.2212989669526786E7,2.3501224607293274E7,2.159449998437742E7,2.177399643131421E7,2008-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080111,2.2942858862929087E7,2.1589292916487485E7,2.1405782880443584E7,2.2287532190353513E7,2.214794882530613E7,2.194249577953198E7,2.2497722303573288E7,2.2593942253836628E7,2.22237958127124E7,2.175661695619771E7,2.23577841687814E7,2.2542394930146784E7,2.3080414011361685E7,2.1792009956569932E7,2.1363772010520786E7,2.2920966668564003E7,2.128059938137424E7,2.1041256427422743E7,2.2035690691445258E7,2.2625013149603117E7,2.2355153463060044E7,2.2907754418284718E7,2.2370804738296874E7,2.177522087237039E7,2.0741792956234116E7,2.2560060448957514E7,2.181966889468844E7,2.2892336994989175E7,2.0739310741331346E7,2.2561112988054648E7,2008-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080112,2.135562650981413E7,1.8255489805115543E7,1.778533533133391E7,2.0355596113936346E7,2.1770894560448527E7,2.022490674852632E7,2.1862010285077643E7,2.210612156136251E7,1.980919104465633E7,2.0442374273086034E7,2.1729569203621127E7,2.0682382873573404E7,2.1856642352054443E7,1.8864974588943772E7,1.6865475411399495E7,2.148174366711407E7,1.781266225579214E7,1.6733582755371395E7,2.2419577249252107E7,2.2291150013849694E7,2.2401204723527707E7,2.18840952217969E7,2.020515323429782E7,2.1364750592067823E7,1.7403141264430776E7,2.0849054676895685E7,1.9247979324638613E7,2.272443630151282E7,1.8529918472784515E7,2.1169658359596334E7,2008-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080113,2.4340440114379134E7,2.200853469398312E7,2.2233783544793557E7,2.400995169273476E7,2.354378571541152E7,2.334062309613715E7,2.324231932598278E7,2.3432152780654475E7,2.366270496948167E7,2.244585987004206E7,2.3586322107563563E7,2.4221090561672926E7,2.3415147733928394E7,2.2890738392918233E7,2.1236504762386E7,2.397964096965888E7,2.1941189996696E7,2.1096048076959856E7,2.280934359912552E7,2.3317932425808523E7,2.221312715695216E7,2.421256045370821E7,2.3977707213949665E7,2.1619289949031666E7,2.0702707207208276E7,2.3888568904784154E7,2.32076670471026E7,2.21948252146185E7,2.1150998164804243E7,2.417256398269983E7,2008-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080114,2.0025820451764848E7,1.737594694136457E7,1.7160997397779968E7,1.857097287172184E7,1.8250576809417494E7,1.7988108130599286E7,1.979666007162731E7,1.9487569936055206E7,1.845290334157855E7,1.8214054002458114E7,1.8443007097577773E7,1.9103163534436475E7,1.994219586533169E7,1.7704994632253394E7,1.6965612858940076E7,1.995361296935364E7,1.7029492886609457E7,1.6661050798023852E7,1.8448131540896673E7,1.927249105683655E7,2.0122715529921845E7,1.9512467886190165E7,1.87576545405787E7,1.896704585851071E7,1.6555712652356151E7,1.886778016067797E7,1.779235209552314E7,2.043054784941937E7,1.698180025112523E7,1.910886880356531E7,2008-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080115,1.5313657758406498E7,1.390678134820128E7,1.5188354543188833E7,1.7136921876103308E7,1.6747557349571535E7,1.6537618280461507E7,1.5790731841366963E7,1.597866217637406E7,1.6190138438042855E7,1.5475053241071688E7,1.5789444761808643E7,1.6666222385324523E7,1.4463115214897893E7,1.5716152581982438E7,1.294701186868291E7,1.5159446632490456E7,1.5055024997403992E7,1.3696778418092525E7,1.5651178697554482E7,1.6162099864885217E7,1.6034830017278317E7,1.5551236613543026E7,1.6587609231122099E7,1.66971825492204E7,1.3793165345739733E7,1.5745519893652909E7,1.6542730564132836E7,1.6430462755923884E7,1.4803135338759115E7,1.6571310826449126E7,2008-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080116,1.794164937488647E7,1.8831721931093942E7,1.779825357642295E7,1.9140799578072704E7,1.9253609356834605E7,1.946722550929049E7,1.7941503511447202E7,1.8144543709575653E7,1.7955539793122165E7,1.7010869643353876E7,1.886212890212466E7,1.8807739610427793E7,1.8680187742578033E7,1.7258151278598107E7,1.7975651506738495E7,1.8481406162043754E7,1.642070087249537E7,1.6784420597510967E7,1.87439628588593E7,1.8277593286516007E7,1.803434448999387E7,1.7897500323706117E7,1.84940732044225E7,1.8126766746999115E7,1.6357289113669613E7,1.7703656306447886E7,1.881184562438736E7,1.8244643556297887E7,1.590337826942652E7,1.9152691994347706E7,2008-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080117,1.7243906500127133E7,1.6672177308556048E7,1.5636437210482638E7,1.68260849569201E7,1.783233129946017E7,1.7318562919706658E7,1.7121748648594342E7,1.715486011119671E7,1.6372687089690322E7,1.5506077780536951E7,1.773243536118206E7,1.6973247287044596E7,1.73909115130271E7,1.5741083927688796E7,1.5646327822628569E7,1.732147293209498E7,1.5031427031768242E7,1.4915191959984357E7,1.853136349639936E7,1.6746204854899313E7,1.5584816123688506E7,1.7270992505022384E7,1.666505876958365E7,1.624808518432125E7,1.4666848138590345E7,1.6741406353722965E7,1.6421436541178737E7,1.586530231522669E7,1.4461875765502699E7,1.7300863081351977E7,2008-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080118,2.12911036292426E7,2.0151943539923694E7,2.0437565764273632E7,2.1696558992969695E7,2.198211108521384E7,2.1644011613190718E7,2.0741300100190487E7,2.1221983684871227E7,2.139830660326189E7,2.035734222378244E7,2.174482820237038E7,2.1601419687632743E7,2.1916460485208724E7,2.100995529343613E7,1.9028108971527234E7,2.151613451830837E7,2.0176439466220003E7,1.8936707100502733E7,2.198610525375878E7,2.1598119663083557E7,2.0445595949824706E7,2.1688309400259815E7,2.1525342738532126E7,2.0124276355710924E7,1.7786871622822266E7,2.1596974098917987E7,2.1329523071402103E7,2.096662983095844E7,1.847693452110736E7,2.1695642910798877E7,2008-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080119,2.2551027622413293E7,2.2227233254849326E7,2.220914292564108E7,2.2094857953246202E7,2.218828491509003E7,2.2219548746097453E7,2.1588060330635574E7,2.168343931374218E7,2.240542035399356E7,2.1727053584987458E7,2.207890888294935E7,2.2254400058533855E7,2.275448231470437E7,2.239357414170784E7,2.194012481733113E7,2.2481083255886186E7,2.2220357810219504E7,2.1809724428523824E7,2.2915063168575298E7,2.1902822107051507E7,2.173378452346978E7,2.2411454284802914E7,2.231001099494237E7,2.0575844890391033E7,2.080950508273217E7,2.2478363355396707E7,2.217132665331338E7,2.2010611099361464E7,2.0929640217062466E7,2.208321335126663E7,2008-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080120,2.162442464828963E7,2.167376631252657E7,2.2155919465199947E7,2.252263488821359E7,2.1423563435861114E7,2.210696851247605E7,2.1136219478173513E7,2.167550720393879E7,2.2490537043051362E7,2.176024439771154E7,2.084193767587762E7,2.233363355390107E7,2.0426009807772804E7,2.2388510445935216E7,2.1549238275866687E7,2.100062391007646E7,2.192017312180605E7,2.1369037394752473E7,2.065796155107734E7,2.2380436805223063E7,2.2162966717275076E7,2.2168659676897E7,2.2507090337332405E7,2.0984422372571472E7,2.0325894611073494E7,2.2389720892041396E7,2.2475974832690384E7,2.265200669807957E7,2.0489984003822956E7,2.1804203423236232E7,2008-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080121,2.038291748522129E7,1.7512270276378755E7,1.769193971214822E7,1.9877748828905E7,1.947795211618977E7,1.9267190486113317E7,2.0237984305836167E7,2.031790103723751E7,1.946494221379343E7,1.8544105973887477E7,1.9458871895991605E7,2.013689492239829E7,1.9479549772331703E7,1.8551609755389627E7,1.6386599608389966E7,1.9975477483505175E7,1.744468264334273E7,1.6321707472900338E7,1.88603123113023E7,2.0005378069105778E7,1.8878051604940325E7,2.0513844043334007E7,1.983372922512351E7,1.919448143241863E7,1.6117666499730093E7,1.9919356165904466E7,1.893992469035297E7,1.904044733115423E7,1.6931446060393624E7,2.0114990303256378E7,2008-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20080122,1.3651822031628028E7,1.322781578847892E7,1.2351776999147847E7,1.2997397091285141E7,1.2264947621378569E7,1.299073300871597E7,1.3877943786110947E7,1.3728970586033434E7,1.288209808624433E7,1.2994887197021998E7,1.1553416940636149E7,1.3297477000210047E7,1.116685275765235E7,1.233566709266531E7,1.3031754058042109E7,1.262570067146391E7,1.192449894669223E7,1.2364165396896688E7,1.2576411538285403E7,1.36356691488753E7,1.463401660474091E7,1.3655217700350277E7,1.3139603962714659E7,1.347228268594544E7,1.2779355808446951E7,1.315427453296748E7,1.2712127565107571E7,1.4820920146520788E7,1.2553200436532484E7,1.2885410986635858E7,2008-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
